"disease","mmwr_year","mmwr_week","current_week","cummulative","date"
"Unknown Serogroup",2015,16,5,72,"2015-04-19"
"ACWY Serogroups",2015,16,0,21,"2015-04-19"
"Other Serogroup",2015,17,0,5,"2015-04-26"
"Serogroup B",2015,17,0,32,"2015-04-26"
"Unknown Serogroup",2015,17,2,74,"2015-04-26"
"ACWY Serogroups",2015,17,0,22,"2015-04-26"
"Other Serogroup",2015,18,0,5,"2015-05-03"
"ACWY Serogroups",2015,18,2,26,"2015-05-03"
"Unknown Serogroup",2015,18,2,74,"2015-05-03"
"Serogroup B",2015,18,0,34,"2015-05-03"
"Other Serogroup",2015,19,0,5,"2015-05-10"
"ACWY Serogroups",2015,19,0,27,"2015-05-10"
"Serogroup B",2015,19,0,36,"2015-05-10"
"Unknown Serogroup",2015,19,3,81,"2015-05-10"
"Serogroup B",2015,20,0,36,"2015-05-17"
"Other Serogroup",2015,20,0,7,"2015-05-17"
"ACWY Serogroups",2015,20,1,30,"2015-05-17"
"Unknown Serogroup",2015,20,0,81,"2015-05-17"
"Unknown Serogroup",2015,21,2,84,"2015-05-24"
"Other Serogroup",2015,21,0,8,"2015-05-24"
"ACWY Serogroups",2015,21,3,35,"2015-05-24"
"Serogroup B",2015,21,0,37,"2015-05-24"
"ACWY Serogroups",2015,22,0,36,"2015-05-31"
"Other Serogroup",2015,22,0,8,"2015-05-31"
"Unknown Serogroup",2015,22,0,86,"2015-05-31"
"Serogroup B",2015,22,0,39,"2015-05-31"
"Serogroup B",2015,23,0,41,"2015-06-07"
"ACWY Serogroups",2015,23,0,36,"2015-06-07"
"Unknown Serogroup",2015,23,4,91,"2015-06-07"
"Other Serogroup",2015,23,0,8,"2015-06-07"
"Serogroup B",2015,24,0,45,"2015-06-14"
"Unknown Serogroup",2015,24,2,90,"2015-06-14"
"ACWY Serogroups",2015,24,0,38,"2015-06-14"
"Other Serogroup",2015,24,0,8,"2015-06-14"
"Other Serogroup",2015,25,0,10,"2015-06-21"
"ACWY Serogroups",2015,25,0,39,"2015-06-21"
"Unknown Serogroup",2015,25,1,92,"2015-06-21"
"Serogroup B",2015,25,1,46,"2015-06-21"
"Unknown Serogroup",2015,26,1,94,"2015-06-28"
"Serogroup B",2015,26,0,47,"2015-06-28"
"Other Serogroup",2015,26,0,11,"2015-06-28"
"ACWY Serogroups",2015,26,1,41,"2015-06-28"
"Unknown Serogroup",2015,27,1,97,"2015-07-05"
"ACWY Serogroups",2015,27,1,44,"2015-07-05"
"Other Serogroup",2015,27,0,11,"2015-07-05"
"Serogroup B",2015,27,0,48,"2015-07-05"
"Other Serogroup",2015,28,0,11,"2015-07-12"
"Unknown Serogroup",2015,28,2,100,"2015-07-12"
"Serogroup B",2015,28,0,49,"2015-07-12"
"ACWY Serogroups",2015,28,0,45,"2015-07-12"
"ACWY Serogroups",2015,29,0,46,"2015-07-19"
"Other Serogroup",2015,29,1,12,"2015-07-19"
"Serogroup B",2015,29,1,51,"2015-07-19"
"Unknown Serogroup",2015,29,0,100,"2015-07-19"
