"epiweek","epiyear","Meningococcal disease, All serogroups cummulative current year","Meningococcal disease, Serogroups ACWY cummulative current year","Meningococcal disease, Serogroup B cummulative for current year","Meningococcal disease, Other serogroups cummulative current year","Meningococcal disease, Unknown serogroup cummulative current year","Meningococcal disease, All serogroups incidence current week","Meningococcal disease, Unknown serogroup incidence current week","Meningococcal disease, Serogroups ACWY incidence current week","Meningococcal disease, Serogroup B incidence current week","Meningococcal disease, Other serogroups incidence current week","date"
45,1996,2750,NA,NA,NA,NA,37,NA,NA,NA,NA,"1996-11-03"
46,1996,2803,NA,NA,NA,NA,53,NA,NA,NA,NA,"1996-11-10"
47,1996,2859,NA,NA,NA,NA,56,NA,NA,NA,NA,"1996-11-17"
48,1996,2915,NA,NA,NA,NA,56,NA,NA,NA,NA,"1996-11-24"
49,1996,2966,NA,NA,NA,NA,51,NA,NA,NA,NA,"1996-12-01"
50,1996,3058,NA,NA,NA,NA,92,NA,NA,NA,NA,"1996-12-08"
51,1996,3122,NA,NA,NA,NA,64,NA,NA,NA,NA,"1996-12-15"
52,1996,3176,NA,NA,NA,NA,54,NA,NA,NA,NA,"1996-12-22"
1,1997,12,NA,NA,NA,NA,12,NA,NA,NA,NA,"1996-12-29"
2,1997,56,NA,NA,NA,NA,44,NA,NA,NA,NA,"1997-01-05"
3,1997,130,NA,NA,NA,NA,74,NA,NA,NA,NA,"1997-01-12"
4,1997,208,NA,NA,NA,NA,78,NA,NA,NA,NA,"1997-01-19"
5,1997,284,NA,NA,NA,NA,76,NA,NA,NA,NA,"1997-01-26"
6,1997,371,NA,NA,NA,NA,87,NA,NA,NA,NA,"1997-02-02"
7,1997,442,NA,NA,NA,NA,71,NA,NA,NA,NA,"1997-02-09"
8,1997,535,NA,NA,NA,NA,93,NA,NA,NA,NA,"1997-02-16"
9,1997,639,NA,NA,NA,NA,104,NA,NA,NA,NA,"1997-02-23"
10,1997,732,NA,NA,NA,NA,93,NA,NA,NA,NA,"1997-03-02"
11,1997,821,NA,NA,NA,NA,89,NA,NA,NA,NA,"1997-03-09"
12,1997,911,NA,NA,NA,NA,90,NA,NA,NA,NA,"1997-03-16"
13,1997,1034,NA,NA,NA,NA,123,NA,NA,NA,NA,"1997-03-23"
14,1997,1124,NA,NA,NA,NA,90,NA,NA,NA,NA,"1997-03-30"
15,1997,1202,NA,NA,NA,NA,78,NA,NA,NA,NA,"1997-04-06"
16,1997,1276,NA,NA,NA,NA,74,NA,NA,NA,NA,"1997-04-13"
17,1997,1344,NA,NA,NA,NA,68,NA,NA,NA,NA,"1997-04-20"
18,1997,1454,NA,NA,NA,NA,110,NA,NA,NA,NA,"1997-04-27"
19,1997,1522,NA,NA,NA,NA,68,NA,NA,NA,NA,"1997-05-04"
20,1997,1598,NA,NA,NA,NA,76,NA,NA,NA,NA,"1997-05-11"
21,1997,1645,NA,NA,NA,NA,47,NA,NA,NA,NA,"1997-05-18"
22,1997,1700,NA,NA,NA,NA,55,NA,NA,NA,NA,"1997-05-25"
23,1997,1790,NA,NA,NA,NA,90,NA,NA,NA,NA,"1997-06-01"
24,1997,1857,NA,NA,NA,NA,67,NA,NA,NA,NA,"1997-06-08"
25,1997,1920,NA,NA,NA,NA,63,NA,NA,NA,NA,"1997-06-15"
26,1997,1961,NA,NA,NA,NA,41,NA,NA,NA,NA,"1997-06-22"
27,1997,2000,NA,NA,NA,NA,39,NA,NA,NA,NA,"1997-06-29"
28,1997,2045,NA,NA,NA,NA,45,NA,NA,NA,NA,"1997-07-06"
